DATE,STOCK_PRICE,STOCK_RETURN,OPTION_PRICE,OPTION_RETURN,IMPLIED_VOLATILITY,DELTA,GAMMA,VEGA
1/2/2015,109.33,-0.0095,44.275,0.027477,0.324589,-0.635797,-0.001573333,-0.008901905
1/5/2015,106.25,-0.0282,46.725,0.053859,0.332291,-0.678499,0.013864286,-0.002500649
1/6/2015,106.26,0.0001,46.825,0.002138,0.334368,-0.670942,0.7557,0.2077
1/7/2015,107.75,0.014,46.25,-0.012356,0.34141,-0.630589,0.02708255,0.004726174
1/8/2015,111.89,0.0384,43.325,-0.065332,0.334199,-0.622135,0.002042029,-0.001741787
1/9/2015,112.01,0.0011,43.075,-0.005787,0.331428,-0.622906,-0.006425,-0.023091667
1/12/2015,109.25,-0.0246,45.225,0.048707,0.341295,-0.62436,0.000526812,-0.003575
1/13/2015,110.22,0.0089,44.45,-0.017285,0.336792,-0.624006,0.000364948,-0.004642268
1/14/2015,109.8,-0.0038,45.325,0.019494,0.34751,-0.620592,-0.008128571,-0.025519048
1/15/2015,106.82,-0.0271,47.325,0.04318,0.349822,-0.62775,0.002402013,-0.000775839
1/16/2015,105.99,-0.0078,47.825,0.01051,0.34751,-0.640481,0.015338554,0.002785542
1/20/2015,108.72,0.0258,45.8,-0.043264,0.341687,-0.624922,0.005699267,-0.002132967
1/21/2015,109.55,0.0076,44.35,-0.032171,0.327493,-0.630873,-0.00716988,-0.017101205
1/22/2015,112.4,0.026,42.25,-0.048508,0.319782,-0.627504,0.001182105,-0.002705614
1/23/2015,112.98,0.0052,41.025,-0.029423,0.305255,-0.632353,-0.008360345,-0.025046552
1/26/2015,113.1,0.0011,40.875,-0.003663,0.304984,-0.632211,0.001183333,-0.002258333
1/27/2015,109.14,-0.035,42.85,0.047187,0.292365,-0.747153,0.029025758,0.003186616
1/28/2015,115.31,0.0565,39.6,-0.078877,0.307481,-0.628349,0.019255105,0.002449919
1/29/2015,118.9,0.0311,37.775,-0.047182,0.313513,-0.623119,0.001456825,0.001680223
1/30/2015,117.16,-0.0146,39.475,0.04402,0.324103,-0.620799,-0.001333333,-0.006086207
2/2/2015,118.63,0.0125,38.225,-0.032178,0.318448,-0.621858,-0.000720408,-0.003846939
2/3/2015,118.65,0.0002,37.925,-0.007879,0.312706,-0.623761,-0.09515,-0.2871
2/4/2015,119.56,0.0077,36.6,-0.035562,0.300146,-0.626601,-0.003120879,-0.013802198
2/5/2015,119.94,0.0032,36.4,-0.005479,0.301486,-0.612532,0.037023684,0.003526316
2/6/2015,118.93,-0.0084,36.975,0.015673,0.300562,-0.621104,0.008487129,0.000914851
2/9/2015,119.72,0.0066,36.25,-0.019803,0.29761,-0.617441,0.004636709,-0.003736709
2/10/2015,122.02,0.0192,34.825,-0.040104,0.300147,-0.597296,0.008758696,0.001103043
2/11/2015,124.88,0.0234,33.25,-0.046281,0.303926,-0.573664,0.008262937,0.001321329
2/12/2015,126.46,0.0127,32.625,-0.018976,0.309033,-0.556132,0.011096203,0.003232278
2/13/2015,127.08,0.0049,32.25,-0.011561,0.308643,-0.550457,0.009153226,-0.000629032
2/17/2015,127.83,0.0059,31.6,-0.020361,0.304492,-0.547056,0.004534667,-0.005534667
2/18/2015,128.72,0.007,31.4,-0.006349,0.307886,-0.537113,0.01117191,0.003813483
2/19/2015,128.45,-0.0021,31.3,-0.00319,0.30523,-0.541025,0.014488889,0.009837037
2/20/2015,129.5,0.0082,30.975,-0.010438,0.308057,-0.530516,0.010008571,0.002692381
2/23/2015,133,0.027,29.025,-0.065023,0.303418,-0.506585,0.006837429,-0.001325429
2/24/2015,132.17,-0.0062,29.55,0.017926,0.305558,-0.511561,0.005995181,-0.002578313
2/25/2015,128.79,-0.0256,31.375,0.059928,0.308203,-0.536599,0.007407692,-0.000782544
2/26/2015,130.41,0.0126,30.7,-0.021749,0.309619,-0.522844,0.008490741,0.000874074
2/27/2015,128.46,-0.015,0,0,0,0,-0.268125128,0.158778974
3/2/2015,129.09,0.0049,31.35,0,0.310132,-0.5337,-0.847142857,0.492273016
3/3/2015,129.36,0.0021,31.375,0.000797,0.312175,-0.530299,0.012596296,0.007566667
3/4/2015,128.54,-0.0063,31.4,0.000796,0.307446,-0.53998,0.011806098,0.005767073
3/5/2015,126.41,-0.0166,33,0.0497,0.315552,-0.552406,0.005833803,-0.003805634
3/6/2015,126.6,0.0015,32.575,-0.012962,0.310767,-0.554553,-0.0113,-0.025184211
3/9/2015,127.14,0.0043,32.125,-0.013911,0.30797,-0.551813,0.005074074,-0.00517963
3/10/2015,124.51,-0.0207,33.725,0.048605,0.310092,-0.571863,0.007623574,-0.000806844
3/11/2015,122.24,-0.0182,34.9,0.034247,0.306055,-0.591241,0.008536564,0.001778414
3/12/2015,124.45,0.0181,33.8,-0.032026,0.310303,-0.572196,0.008617647,0.001922172
3/13/2015,123.59,-0.0069,34.475,0.019774,0.312866,-0.576344,0.004823256,-0.002980233
3/16/2015,124.95,0.011,33.375,-0.032427,0.308057,-0.570265,0.004469853,-0.003536029
3/17/2015,127.04,0.0167,31.625,-0.053859,0.299928,-0.559677,0.005066029,-0.003889474
3/18/2015,128.47,0.0113,30.65,-0.031315,0.296327,-0.549278,0.007272028,-0.002518182
3/19/2015,127.5,-0.0076,31.25,0.019387,0.298072,-0.556772,0.007725773,-0.001798969
3/20/2015,125.9,-0.0125,31.775,0.01666,0.291528,-0.57516,0.0114925,0.00409
3/23/2015,127.21,0.0104,31.325,-0.014263,0.295639,-0.562102,0.009967939,0.003138168
3/24/2015,126.69,-0.0041,31.5,0.005571,0.300027,-0.599118,0.071184615,-0.008438462
3/25/2015,123.38,-0.0261,33.75,0.068993,0.303155,-0.626079,0.008145317,-0.000945015
3/26/2015,124.24,0.007,33.225,-0.015678,0.303165,-0.625855,0.000260465,1.16E-05
3/27/2015,123.25,-0.008,34,0.023058,0.305542,-0.62572,-0.000136364,-0.00240101
3/30/2015,126.37,0.0253,31.75,-0.068468,0.301147,-0.608495,0.005520833,-0.001408654
3/31/2015,124.43,-0.0154,32.95,0.037099,0.300342,-0.626608,0.009336598,0.000414948
4/1/2015,124.25,-0.0014,33.2,0.007559,0.302466,-0.626246,-0.002011111,-0.0118
4/2/2015,125.32,0.0086,32.35,-0.025936,0.299255,-0.626185,5.70E-05,-0.003000935
4/6/2015,127.35,0.0162,31.075,-0.04021,0.29834,-0.574714,0.025355172,-0.000450739
4/7/2015,126.01,-0.0105,31.775,0.022276,0.304712,-0.609433,0.025909701,-0.004755224
4/8/2015,125.6,-0.0033,32.25,0.014838,0.308398,-0.612658,0.007865854,-0.008990244
4/9/2015,126.56,0.0076,31.7,-0.017201,0.300391,-0.605604,0.007347917,-0.008340625
4/10/2015,127.1,0.0043,31.225,-0.015098,0.298022,-0.589176,0.030422222,-0.004387037
4/13/2015,126.85,-0.002,31.175,-0.001603,0.295166,-0.608112,0.075744,0.011424
4/14/2015,126.3,-0.0043,31.5,0.010371,0.295093,-0.622085,0.025405455,0.000132727
4/15/2015,126.78,0.0038,31.1,-0.01278,0.293408,-0.614348,0.01611875,-0.003510417
4/16/2015,126.17,-0.0048,31.3,0.00641,0.296521,-0.62755,0.021642623,-0.005103279
4/17/2015,124.75,-0.0113,32.5,0.037622,0.301741,-0.629484,0.001361972,-0.003676056
4/20/2015,127.6,0.0228,30.425,-0.065975,0.296851,-0.590066,0.013830877,-0.001715789
4/21/2015,126.91,-0.0054,30.925,0.0163,0.298174,-0.612585,0.032636232,-0.001917391
4/22/2015,128.62,0.0135,29.875,-0.034543,0.297311,-0.538773,0.043164912,-0.000504678
4/23/2015,129.67,0.0082,29.025,-0.028864,0.292722,-0.511982,0.025515238,-0.004370476
4/24/2015,130.28,0.0047,29.15,0.004297,0.299243,-0.496472,0.02542623,0.010690164
4/27/2015,132.65,0.0182,28.175,-0.03402,0.30188,-0.488712,0.003274262,0.001112658
4/28/2015,130.56,-0.0158,28.475,0.010591,0.290845,-0.499929,0.005366986,0.005279904
4/29/2015,128.64,-0.0147,29.65,0.040436,0.291992,-0.563837,0.033285417,-0.000597396
4/30/2015,125.15,-0.0271,32.125,0.080172,0.297412,-0.630485,0.019096848,-0.001553009
5/1/2015,128.95,0.0304,29.6,-0.08186,0.294355,-0.541504,0.023416053,-0.000804474
5/4/2015,128.7,-0.0019,29.2,-0.013606,0.286581,-0.578237,0.146932,0.031096
5/5/2015,125.8,-0.0225,31.025,0.060625,0.286939,-0.632212,0.018612069,-0.000123448
5/6/2015,125.01,-0.0063,31.775,0.023886,0.291052,-0.631616,-0.00075443,-0.005206329
5/7/2015,125.26,0.002,31,-0.024693,0.283583,-0.603016,0.1144,-0.029876
5/8/2015,127.62,0.0188,29.275,-0.057253,0.279787,-0.586594,0.006958475,-0.001608475
5/11/2015,126.32,-0.0102,29.875,0.020288,0.275788,-0.600591,0.010766923,0.003076154
5/12/2015,125.86,-0.0036,30.2,0.01082,0.275338,-0.605111,0.009826087,0.000978261
5/13/2015,126.01,0.0012,30.25,0.001654,0.278377,-0.601282,0.025526667,0.02026
5/14/2015,128.95,0.0233,28.6,-0.056089,0.281318,-0.57353,0.009439456,0.00100034
5/15/2015,128.77,-0.0014,28.475,-0.00438,0.278082,-0.577708,0.023211111,0.017977778
5/18/2015,130.19,0.011,27.475,-0.03575,0.280636,-0.56857,0.006435211,0.001798592
5/19/2015,130.07,-0.0009,27.525,0.001818,0.280225,-0.570256,0.01405,0.003425
5/20/2015,130.06,-0.0001,27.325,-0.007293,0.277283,-0.572672,0.2416,0.2942
5/21/2015,131.39,0.0102,26.6,-0.026891,0.277854,-0.557967,0.011056391,0.000429323
5/22/2015,132.54,0.0088,25.875,-0.027634,0.275781,-0.548073,0.008603478,-0.001802609
5/26/2015,129.62,-0.022,27.8,0.071759,0.281323,-0.573998,0.008878425,-0.001897945
5/27/2015,132.04,0.0187,26.4,-0.051672,0.285844,-0.543393,0.012646694,0.001868182
5/28/2015,131.78,-0.002,26.525,0.004724,0.280573,-0.552023,0.033192308,0.020273077
5/29/2015,130.28,-0.0114,27.225,0.026048,0.278612,-0.569166,0.011428667,0.001307333
6/1/2015,130.53,0.0019,27.1,-0.004602,0.278662,-0.566661,0.01002,0.0002
6/2/2015,129.96,-0.0044,27.35,0.009183,0.277197,-0.574047,0.012957895,0.002570175
6/3/2015,130.12,0.0012,27.225,-0.004581,0.276929,-0.572508,0.00961875,-0.001675
6/4/2015,129.36,-0.0058,27.75,0.0191,0.278857,-0.578572,0.007978947,-0.002536842
6/5/2015,128.65,-0.0055,28,0.008969,0.276001,-0.587756,0.012935211,0.004022535
6/8/2015,127.8,-0.0066,28.75,0.026433,0.282699,-0.593725,0.007022353,-0.00788
6/9/2015,127.42,-0.003,28.9,0.005204,0.282293,-0.596762,0.007992105,0.001068421
6/10/2015,128.88,0.0115,27.75,-0.040606,0.277821,-0.587541,0.006315753,-0.003063014
6/11/2015,128.59,-0.0023,27.75,0,0.275,-0.592258,0.016265517,0.009727586
6/12/2015,127.17,-0.011,28.6,0.030171,0.274256,-0.604861,0.008875352,0.000523944
6/15/2015,126.92,-0.002,28.65,0.001747,0.272698,-0.608041,0.01272,0.006232
6/16/2015,127.6,0.0054,28.05,-0.021165,0.269092,-0.605274,0.004069118,-0.005302941
6/17/2015,127.3,-0.0024,28.15,0.003559,0.26748,-0.60913,0.012853333,0.005373333
6/18/2015,127.88,0.0046,27.775,-0.013411,0.267091,-0.604505,0.007974138,-0.00067069
6/19/2015,126.6,-0.01,28.475,0.02489,0.265441,-0.616889,0.009675,0.001289063
6/22/2015,127.61,0.008,27.725,-0.026692,0.262061,-0.611234,0.00559901,-0.003346535
6/23/2015,127.03,-0.0045,27.875,0.005396,0.257812,-0.620135,0.015346552,0.007325862
6/24/2015,128.11,0.0085,27.3,-0.020844,0.260449,-0.607999,0.011237037,0.002441667
6/25/2015,127.5,-0.0048,27.65,0.012739,0.259961,-0.613769,0.009459016,0.0008
6/26/2015,126.75,-0.0059,28.15,0.017922,0.260205,-0.620366,0.008796,-0.000325333
6/29/2015,124.53,-0.0175,29.95,0.061982,0.268659,-0.640945,0.00926982,-0.003808108
6/30/2015,125.42,0.0071,29.325,-0.021089,0.267944,-0.640646,0.000335955,-0.000803371
7/1/2015,126.6,0.0094,28.55,-0.026783,0.266894,-0.640981,-0.000283898,-0.000889831
7/2/2015,126.44,-0.0013,28.375,-0.006148,0.261921,-0.642109,0.00705,0.03108125
7/6/2015,126,-0.0035,28.65,0.009645,0.261938,-0.642105,-9.09E-06,-3.86E-05
7/7/2015,125.69,-0.0025,28.8,0.005222,0.266626,-0.638134,-0.012809677,-0.015122581
7/8/2015,122.57,-0.0248,30.975,0.072805,0.263249,-0.644797,0.002135577,0.001082372
7/9/2015,120.07,-0.0204,32.8,0.057248,0.26609,-0.647531,0.0010936,-0.0011364
7/10/2015,123.28,0.0267,30.425,-0.075164,0.260791,-0.644895,0.000821184,-0.001650779
7/13/2015,125.66,0.0193,28.8,-0.054889,0.259058,-0.64391,0.000413866,-0.000728151
7/14/2015,125.61,-0.0004,28.575,-0.007843,0.255167,-0.644253,0.00686,0.07782
7/15/2015,126.82,0.0096,27.925,-0.02301,0.258447,-0.642669,0.001309091,0.002710744
7/16/2015,128.51,0.0133,26.775,-0.042054,0.256689,-0.642565,6.15E-05,-0.001040237
7/17/2015,129.62,0.0086,26.375,-0.015052,0.262427,-0.637707,0.004376577,0.005169369
7/20/2015,132.07,0.0189,24.975,-0.054541,0.264429,-0.52724,0.045088571,0.000817143
7/21/2015,130.75,-0.01,25.625,0.025693,0.263135,-0.609855,0.062587121,0.000980303
7/22/2015,125.22,-0.0423,29.025,0.124589,0.261064,-0.64236,0.005877939,0.000374503
7/23/2015,125.16,-0.0005,29,-0.000862,0.259399,-0.643046,0.011433333,0.02775
7/24/2015,124.5,-0.0053,29.4,0.013699,0.258858,-0.643707,0.001001515,0.000819697
7/27/2015,122.77,-0.0139,30.6,0.040005,0.260832,-0.645143,0.000830058,-0.00114104
7/28/2015,123.38,0.005,30.025,-0.01897,0.256885,-0.645717,-0.000940984,-0.006470492
7/29/2015,122.99,-0.0032,30.325,0.009942,0.257443,-0.64612,0.001033333,-0.001430769
7/30/2015,122.37,-0.005,30.725,0.013104,0.257539,-0.646861,0.001195161,-0.000154839
7/31/2015,121.3,-0.0087,31.575,0.027289,0.260645,-0.646949,8.22E-05,-0.002902804
8/3/2015,118.44,-0.0236,33.925,0.071787,0.270795,-0.650396,0.001205245,-0.003548951
8/4/2015,114.64,-0.0321,36.7,0.078625,0.271387,-0.766158,0.030463684,-0.000155789
8/5/2015,115.4,0.0066,36.075,-0.017177,0.270215,-0.759446,0.008831579,-0.001542105
8/6/2015,115.13,-0.0023,36.1,0.000693,0.275671,-0.717812,-0.1542,-0.020207407
8/7/2015,115.52,0.0034,35.7,-0.011142,0.267362,-0.725089,-0.018658974,-0.021305128
8/10/2015,119.72,0.0364,32.4,-0.096992,0.265276,-0.694422,0.007301667,-0.000496667
8/11/2015,113.49,-0.052,37.425,0.144181,0.277865,-0.741527,0.007560995,-0.002020706
8/12/2015,115.24,0.0154,36.125,-0.035354,0.278741,-0.726034,0.008853143,0.000500571
8/13/2015,115.15,-0.0008,35.7,-0.011834,0.26514,-0.741394,0.170666667,0.151122222
8/14/2015,115.96,0.007,35.075,-0.017662,0.264039,-0.735966,0.006701235,-0.001359259
8/17/2015,117.16,0.0103,34.15,-0.026726,0.265111,-0.723399,0.0104725,0.000893333
8/18/2015,116.5,-0.0056,34.575,0.012368,0.264046,-0.730859,0.01130303,0.001613636
8/19/2015,115.01,-0.0128,35.75,0.033419,0.264642,-0.742997,0.008146309,-0.0004
8/20/2015,112.65,-0.0205,38.25,0.067593,0.282164,-0.744112,0.000472458,-0.007424576
8/21/2015,105.76,-0.0612,44.625,0.154151,0.311094,-0.769341,0.003661684,-0.004198839
8/24/2015,103.12,-0.025,47.9,0.070821,0.343545,-0.757148,-0.004618561,-0.012292045
8/25/2015,103.74,0.006,47.225,-0.014192,0.337586,-0.758379,-0.001985484,-0.00961129
8/26/2015,109.69,0.0574,41.625,-0.126222,0.307365,-0.742841,0.002611429,-0.00507916
8/27/2015,112.92,0.0294,38.975,-0.065781,0.302746,-0.722308,0.006356966,-0.001430031
8/28/2015,113.29,0.0033,38.1,-0.022706,0.286481,-0.735569,-0.035840541,-0.043959459
8/31/2015,112.76,-0.0047,38.275,0.004583,0.289559,-0.746898,0.021375472,-0.005807547
9/1/2015,107.72,-0.0447,43.8,0.134837,0.33448,-0.742919,-0.000789484,-0.008912897
9/2/2015,112.34,0.0429,40,-0.090754,0.326284,-0.713779,0.006307359,-0.001774026
9/3/2015,110.37,-0.0175,41.25,0.030772,0.320811,-0.735617,0.011085279,0.002778173
9/4/2015,109.27,-0.01,42.3,0.025136,0.326496,-0.738691,0.002794545,-0.005168182
9/8/2015,112.31,0.0278,40,-0.055908,0.325648,-0.714966,0.007804276,-0.000278947
9/9/2015,110.15,-0.0192,40.9,0.022251,0.315497,-0.741098,0.012098148,0.004699537
9/10/2015,112.57,0.022,39.025,-0.046928,0.306402,-0.731967,0.00377314,-0.003758264
9/11/2015,114.21,0.0146,37.675,-0.035206,0.303497,-0.720509,0.006986585,-0.001771341
9/14/2015,115.31,0.0096,36.75,-0.024859,0.3005,-0.713045,0.006785455,-0.002724545
9/15/2015,116.28,0.0084,35.725,-0.028288,0.292543,-0.712171,0.000901031,-0.008203093
9/16/2015,116.41,0.0011,35.4,-0.009139,0.286973,-0.717347,-0.039815385,-0.042846154
9/17/2015,113.92,-0.0214,36.95,0.042854,0.282771,-0.748953,0.012693173,0.00168755
9/18/2015,113.45,-0.0041,37.55,0.016108,0.289575,-0.745966,-0.006355319,-0.014476596
9/21/2015,115.21,0.0155,36.15,-0.037996,0.288797,-0.732297,0.007766477,-0.000442045
9/22/2015,113.4,-0.0157,37.825,0.045293,0.293728,-0.74265,0.00571989,-0.002724309
9/23/2015,114.32,0.0081,37,-0.022052,0.290817,-0.738084,0.004963043,-0.00316413
9/24/2015,115,0.0059,36.425,-0.015663,0.2889,-0.734457,0.005333824,-0.002819118
9/25/2015,114.71,-0.0025,36.65,0.006158,0.28914,-0.736584,0.007334483,-0.000827586
9/28/2015,112.44,-0.0198,38.75,0.055717,0.298275,-0.745873,0.00409207,-0.004024229
9/29/2015,109.06,-0.0301,42.125,0.083511,0.320458,-0.750897,0.001486391,-0.006563018
9/30/2015,110.3,0.0114,40.175,-0.047396,0.292651,-0.768941,-0.014551613,-0.022425
10/1/2015,109.58,-0.0065,41.1,0.022763,0.302456,-0.764678,-0.005920833,-0.013618056
10/2/2015,110.38,0.0073,40.5,-0.014706,0.302725,-0.757923,0.00844375,0.00033625
10/5/2015,110.78,0.0036,40.075,-0.010549,0.301409,-0.767904,-0.0249525,-0.00329
10/6/2015,111.31,0.0048,40,-0.001873,0.309038,-0.766906,0.001883019,0.01439434
10/7/2015,110.78,-0.0048,39.725,-0.006899,0.291096,-0.770335,0.006469811,0.03385283
10/8/2015,109.5,-0.0116,40.55,0.020555,0.286642,-0.771921,0.001239062,0.003479688
10/9/2015,112.12,0.0239,38.25,-0.058392,0.279419,-0.772037,-4.43E-05,-0.00275687
10/12/2015,111.6,-0.0046,38.4,0.003914,0.272871,-0.773456,0.002728846,0.012592308
10/13/2015,111.79,0.0017,38.225,-0.004568,0.272106,-0.773484,-0.000147368,-0.004026316
10/14/2015,110.21,-0.0141,39.675,0.037232,0.287717,-0.771014,-0.001563291,-0.00988038
10/15/2015,111.86,0.015,38.15,-0.039196,0.271275,-0.773685,-0.001618788,-0.009964848
10/16/2015,111.04,-0.0073,38.7,0.014314,0.267453,-0.776077,0.002917073,0.004660976
10/19/2015,111.73,0.0062,38.15,-0.014314,0.267741,-0.774849,0.00177971,0.000417391
10/20/2015,113.77,0.0183,36.425,-0.04627,0.264099,-0.774474,0.000183824,-0.001785294
10/21/2015,113.76,-0.0001,36.375,-0.001374,0.263245,-0.774894,0.042,0.0854
10/22/2015,115.5,0.0153,34.925,-0.040679,0.26041,-0.774344,0.000316092,-0.00162931
10/23/2015,119.08,0.031,32.375,-0.075816,0.265973,-0.732338,0.01173352,0.001553911
10/26/2015,115.28,-0.0319,35.725,0.098464,0.277018,-0.771758,0.010373684,-0.002906579
10/27/2015,114.55,-0.0063,37.375,0.045151,0.307324,-0.754891,-0.023105479,-0.041515068
10/28/2015,119.27,0.0412,32.25,-0.147484,0.266772,-0.717918,0.007833263,-0.008591525
10/29/2015,120.53,0.0106,31.3,-0.0299,0.264547,-0.668718,0.039047619,-0.001765873
10/30/2015,119.5,-0.0085,32.05,0.023679,0.265964,-0.709578,0.039669903,-0.001375728
11/2/2015,121.18,0.0141,30.7,-0.043035,0.262574,-0.659844,0.029603571,-0.002017857
11/3/2015,122.57,0.0115,29.75,-0.031434,0.261966,-0.653482,0.004576978,-0.00043741
11/4/2015,122,-0.0047,30.1,0.011696,0.261621,-0.65497,0.002610526,0.000605263
11/5/2015,120.92,-0.0089,30.575,0.015658,0.264194,-0.699115,0.040875,-0.002382407
11/6/2015,121.06,0.0012,30.5,-0.002456,0.2604,-0.706257,-0.051014286,-0.0271
11/9/2015,120.57,-0.004,30.725,0.00735,0.265006,-0.718254,0.024483673,-0.0094
11/10/2015,116.77,-0.0315,33.825,0.096124,0.273624,-0.747051,0.007578158,-0.002267895
11/11/2015,116.11,-0.0057,34.1,0.008097,0.267601,-0.759162,0.01835,0.009125758
11/12/2015,115.72,-0.0034,34.325,0.006577,0.265521,-0.764928,0.014784615,0.005333333
11/13/2015,112.34,-0.0292,37.125,0.078417,0.274445,-0.785031,0.005947633,-0.002640237
11/16/2015,114.17,0.0163,35.625,-0.041243,0.268197,-0.776368,0.00473388,-0.003414208
11/17/2015,113.69,-0.0042,36.025,0.011166,0.268527,-0.780619,0.00885625,-0.0006875
11/18/2015,117.29,0.0317,33.275,-0.079407,0.269113,-0.747532,0.009190833,0.000162778
11/19/2015,118.78,0.0127,32.15,-0.034394,0.270195,-0.731808,0.01055302,0.000726174
11/20/2015,119.3,0.0044,31.725,-0.013307,0.269163,-0.727627,0.008040385,-0.001984615
11/23/2015,117.75,-0.013,32.575,0.02644,0.260391,-0.752542,0.016074194,0.005659355
11/24/2015,118.88,0.0096,31.775,-0.024865,0.262531,-0.739486,0.011553982,0.001893805
11/25/2015,118.03,-0.0072,32.35,0.017934,0.26118,-0.748892,0.011065882,0.001589412
11/27/2015,117.81,-0.0019,32.375,0.000772,0.261633,-0.756803,0.035959091,-0.002059091
11/30/2015,118.3,0.0042,32.2,-0.00542,0.26943,-0.743749,0.026640816,0.015912245
12/1/2015,117.34,-0.0081,32.675,0.014644,0.25948,-0.763619,0.020697917,0.010364583
12/2/2015,116.28,-0.009,33.3,0.018947,0.254296,-0.779372,0.014861321,0.004890566
12/3/2015,115.2,-0.0093,34.275,0.028859,0.258146,-0.785364,0.005548148,-0.003564815
12/4/2015,119.03,0.0332,31.15,-0.095602,0.254129,-0.753535,0.008310444,-0.001048825
12/7/2015,118.28,-0.0063,31.675,0.016713,0.253584,-0.760974,0.009918667,0.000726667
12/8/2015,118.23,-0.0004,31.725,0.001577,0.253943,-0.76108,0.00212,-0.00718
12/9/2015,115.62,-0.0221,34,0.069256,0.261426,-0.777433,0.006265517,-0.00286705
12/10/2015,116.17,0.0048,33.6,-0.011834,0.262441,-0.77105,0.011605455,0.001845455
12/11/2015,113.18,-0.0257,36.1,0.071767,0.268052,-0.793136,0.007386622,-0.001876589
12/14/2015,112.48,-0.0062,36.45,0.009649,0.264355,-0.808411,0.021821429,0.005281429
12/15/2015,110.49,-0.0177,37.55,0.029732,0.244772,-0.852917,0.022364824,0.009840704
12/16/2015,111.34,0.0077,36.9,-0.017462,0.247759,-0.842924,0.011756471,0.003514118
12/17/2015,108.98,-0.0212,38.7,0.047628,0.237444,-0.872489,0.012527542,0.004370763
12/18/2015,106.03,-0.0271,41.225,0.063205,0.235614,-0.898583,0.008845424,0.000620339
12/21/2015,107.33,0.0123,40.05,-0.028916,0.23595,-0.887401,0.008601538,0.000258462
12/22/2015,107.23,-0.0009,39.925,-0.003126,0.226807,-0.90015,0.12749,0.09143
12/23/2015,108.61,0.0129,38.475,-0.036994,0.216477,-0.902431,-0.001652899,-0.007485507
12/24/2015,108.03,-0.0053,38.925,0.011628,0.213207,-0.912271,0.016965517,0.005637931
12/28/2015,106.82,-0.0112,40.075,0.029116,0.216886,-0.918349,0.00502314,-0.003040496
12/29/2015,108.74,0.018,38.275,-0.045956,0.213752,-0.906902,0.005961979,-0.001632292
12/30/2015,107.32,-0.0131,39.55,0.032769,0.213353,-0.91888,0.008435211,0.000280986
12/31/2015,105.26,-0.0192,41.525,0.04873,0.218274,-0.925623,0.003273301,-0.002388835
