Date,NPV,Return,Strike
7/1/2010,0.0409159,0,2.92%
7/2/2010,0.0395103,-0.034957343,
7/3/2010,0.0392251,-0.007244549,
7/4/2010,0.0391564,-0.001752965,
7/5/2010,0.0420542,0.07139538,
7/6/2010,0.0422638,0.004971665,
7/7/2010,0.042059,-0.004857533,
7/8/2010,0.0407213,-0.032322097,
7/9/2010,0.0393349,-0.034639132,
7/10/2010,0.039118,-0.005529446,
7/11/2010,0.0390409,-0.001972905,
7/12/2010,0.0384061,-0.016393513,
7/13/2010,0.0370306,-0.036471703,
7/14/2010,0.0415058,0.114088579,
7/15/2010,0.0447511,0.075282849,
7/16/2010,0.049442,0.09968424,
7/17/2010,0.0492288,-0.004321447,
7/18/2010,0.049175,-0.001093454,
7/19/2010,0.0475515,-0.03357203,
7/20/2010,0.0487313,0.0245082,
7/21/2010,0.0512209,0.049826118,
7/22/2010,0.0506254,-0.011694225,
7/23/2010,0.0471116,-0.071934171,
7/24/2010,0.0469122,-0.004241486,
7/25/2010,0.046848,-0.001369451,
7/26/2010,0.0473064,0.009737275,
7/27/2010,0.0449144,-0.051887137,
7/28/2010,0.0500183,0.107630482,
7/29/2010,0.0524872,0.048180392,
7/30/2010,0.0553038,0.052272292,
7/31/2010,0.0553031,-1.27E-05,
8/1/2010,0.0550599,-0.004407281,
8/2/2010,0.0548295,-0.004193313,
8/3/2010,0.058409,0.063241617,
8/4/2010,0.0549541,-0.060971696,
8/5/2010,0.0567058,0.031378207,
8/6/2010,0.0585028,0.031198118,
8/7/2010,0.0582989,-0.003491391,
8/8/2010,0.0582608,-0.000653742,
8/9/2010,0.0575138,-0.012904564,
8/10/2010,0.060783,0.055285226,
8/11/2010,0.0629927,0.035708702,
8/12/2010,0.0593592,-0.059411725,
8/13/2010,0.0602996,0.015718349,
8/14/2010,0.0601029,-0.003267377,
8/15/2010,0.0600801,-0.000379421,
8/16/2010,0.0635468,0.05609797,
8/17/2010,0.0617527,-0.028638943,
8/18/2010,0.0612122,-0.008791183,
8/19/2010,0.0629611,0.028170559,
8/20/2010,0.0603615,-0.042165591,
8/21/2010,0.0601543,-0.003438557,
8/22/2010,0.060123,-0.000520464,
8/23/2010,0.0623839,0.036914765,
8/24/2010,0.0665719,0.064975337,
8/25/2010,0.0635269,-0.046819128,
8/26/2010,0.064966,0.022400618,
8/27/2010,0.0586054,-0.103037214,
8/28/2010,0.0583979,-0.003546912,
8/29/2010,0.0583987,1.37E-05,
8/30/2010,0.0635551,0.084613617,
8/31/2010,0.066122,0.039594274,
9/1/2010,0.062844,-0.050846055,
9/2/2010,0.0621888,-0.010480546,
9/3/2010,0.0603277,-0.030383551,
9/4/2010,0.0600206,-0.005103531,
9/5/2010,0.0599833,-0.000621646,
9/6/2010,0.0593458,-0.010684838,
9/7/2010,0.064864,0.088911418,
9/8/2010,0.0621225,-0.043184528,
9/9/2010,0.0566898,-0.091513942,
9/10/2010,0.0556266,-0.018932796,
9/11/2010,0.0555542,-0.001302383,
9/12/2010,0.0554818,-0.001304082,
9/13/2010,0.0587698,0.057573078,
9/14/2010,0.0624189,0.060239997,
9/15/2010,0.0610816,-0.021657439,
9/16/2010,0.0597664,-0.021767045,
9/17/2010,0.0602427,0.007937773,
9/18/2010,0.0600152,-0.00378354,
9/19/2010,0.0599808,-0.000573352,
9/20/2010,0.0613232,0.022133727,
9/21/2010,0.0669151,0.087266414,
9/22/2010,0.0660668,-0.0127583,
9/23/2010,0.0664335,0.005535096,
9/24/2010,0.0647134,-0.026233158,
9/25/2010,0.0644689,-0.003785353,
9/26/2010,0.0644694,7.76E-06,
9/27/2010,0.0678016,0.050395101,
9/28/2010,0.0706787,0.041558461,
9/29/2010,0.0691577,-0.02175485,
9/30/2010,0.0683613,-0.011582529,
10/1/2010,0.0679188,-0.006494001,
10/2/2010,0.0678464,-0.001066547,
10/3/2010,0.0676768,-0.002502894,
10/4/2010,0.0694885,0.026417838,
10/5/2010,0.0701511,0.009490216,
10/6/2010,0.0719289,0.025026644,
10/7/2010,0.0737253,0.024667893,
10/8/2010,0.0754466,0.023079097,
10/9/2010,0.0753742,-0.00096008,
10/10/2010,0.0753019,-0.000959675,
10/11/2010,0.0752004,-0.001348817,
10/12/2010,0.074491,-0.009478237,
10/13/2010,0.0756487,0.015421943,
10/14/2010,0.0723842,-0.044112212,
10/15/2010,0.0720595,-0.004495877,
10/16/2010,0.0719871,-0.00100523,
10/17/2010,0.0719148,-0.001004851,
10/18/2010,0.0746268,0.037017607,
10/19/2010,0.075898,0.016890642,
10/20/2010,0.0766664,0.010073208,
10/21/2010,0.0752188,-0.019062342,
10/22/2010,0.0741065,-0.014897952,
10/23/2010,0.0740341,-0.00097745,
10/24/2010,0.0739618,-0.000977054,
10/25/2010,0.0721193,-0.025227051,
10/26/2010,0.0685953,-0.050097673,
10/27/2010,0.0657074,-0.043012467,
10/28/2010,0.0701934,0.066042737,
10/29/2010,0.0733812,0.044413483,
10/30/2010,0.0733088,-0.000987116,
10/31/2010,0.0732364,-0.000988091,
11/1/2010,0.0727419,-0.006775005,
11/2/2010,0.0723504,-0.005396578,
11/3/2010,0.0745157,0.02948886,
11/4/2010,0.0787396,0.055136364,
11/5/2010,0.076172,-0.033152264,
11/6/2010,0.0760995,-0.000952247,
11/7/2010,0.0760271,-0.000951839,
11/8/2010,0.0745827,-0.019181279,
11/9/2010,0.067389,-0.101426777,
11/10/2010,0.0688535,0.021499259,
11/11/2010,0.0697558,0.013019512,
11/12/2010,0.060858,-0.13645729,
11/13/2010,0.0607854,-0.001193653,
11/14/2010,0.0607129,-0.001193432,
11/15/2010,0.0548278,-0.101958831,
11/16/2010,0.0574335,0.046430392,
11/17/2010,0.0575989,0.002875714,
11/18/2010,0.056186,-0.024835855,
11/19/2010,0.0555141,-0.012030573,
11/20/2010,0.0554415,-0.001308632,
11/21/2010,0.0551579,-0.00512843,
11/22/2010,0.0610774,0.101941931,
11/23/2010,0.0620927,0.016486517,
11/24/2010,0.0544215,-0.131869133,
11/25/2010,0.0611059,0.115849128,
11/26/2010,0.0543305,-0.117522661,
11/27/2010,0.0542578,-0.001339003,
11/28/2010,0.0541852,-0.001338952,
11/29/2010,0.0559752,0.032500927,
11/30/2010,0.0568232,0.015035958,
12/1/2010,0.049014,-0.147838721,
12/2/2010,0.0478328,-0.024394375,
12/3/2010,0.0507663,0.059521152,
12/4/2010,0.050694,-0.001425188,
12/5/2010,0.0506217,-0.001427222,
12/6/2010,0.0553216,0.088783091,
12/7/2010,0.0463145,-0.177708342,
12/8/2010,0.0399744,-0.147215838,
12/9/2010,0.0408546,0.021780173,
12/10/2010,0.0356851,-0.135286187,
12/11/2010,0.0356126,-0.002033727,
12/12/2010,0.0349814,-0.017883016,
12/13/2010,0.0400634,0.135646708,
12/14/2010,0.0306125,-0.269054777,
12/15/2010,0.0266803,-0.137482957,
12/16/2010,0.032116,0.185428883,
12/17/2010,0.036438,0.126257838,
12/18/2010,0.0363657,-0.001986163,
12/19/2010,0.0362935,-0.001987361,
12/20/2010,0.0373236,0.027987172,
12/21/2010,0.0380974,0.020520204,
12/22/2010,0.0380974,0,
12/23/2010,0.0328763,-0.147394005,
12/24/2010,0.0356731,0.08164487,
12/25/2010,0.0356008,-0.002028794,
12/26/2010,0.0355287,-0.002027289,
12/27/2010,0.0337289,-0.051985784,
12/28/2010,0.0278305,-0.192222495,
12/29/2010,0.0344066,0.212115865,
12/30/2010,0.0331471,-0.037293175,
12/31/2010,0.0363416,0.092007859,
1/1/2011,0.0357659,-0.015968165,
1/2/2011,0.0357663,1.12E-05,
1/3/2011,0.0360571,0.008097684,
1/4/2011,0.0357399,-0.008836081,
1/5/2011,0.0287828,-0.216489725,
1/6/2011,0.0309666,0.073131218,
1/7/2011,0.0353447,0.132239248,
1/8/2011,0.0352724,-0.002047663,
1/9/2011,0.0349536,-0.009079321,
1/10/2011,0.037168,0.061426708,
1/11/2011,0.037168,0,
1/12/2011,0.034917,-0.062474359,
1/13/2011,0.0387059,0.103018227,
1/14/2011,0.0377566,-0.024831748,
1/15/2011,0.0376843,-0.001916733,
1/16/2011,0.0376121,-0.001917755,
1/17/2011,0.0369151,-0.018705126,
1/18/2011,0.0362351,-0.018592419,
1/19/2011,0.0372948,0.028825644,
1/20/2011,0.0321161,-0.149496445,
1/21/2011,0.0336982,0.048086961,
1/22/2011,0.0336259,-0.00214782,
1/23/2011,0.0330353,-0.017719917,
1/24/2011,0.0329632,-0.002184899,
1/25/2011,0.0360185,0.088640908,
1/26/2011,0.0336821,-0.067066156,
1/27/2011,0.0347484,0.031166989,
1/28/2011,0.0373006,0.070875885,
1/29/2011,0.0372283,-0.001940188,
1/30/2011,0.0370236,-0.005513678,
1/31/2011,0.0356826,-0.036892372,
2/1/2011,0.0325432,-0.092094738,
2/2/2011,0.0288995,-0.118744144,
2/3/2011,0.0245264,-0.164074206,
2/4/2011,0.0213583,-0.138309666,
2/5/2011,0.021286,-0.003390843,
2/6/2011,0.0212136,-0.003407094,
2/7/2011,0.0209779,-0.011172983,
2/8/2011,0.0147067,-0.35516633,
2/9/2011,0.0176131,0.180339771,
2/10/2011,0.0149065,-0.166845584,
2/11/2011,0.0169128,0.126273372,
2/12/2011,0.0168406,-0.004278094,
2/13/2011,0.0167684,-0.004296475,
2/14/2011,0.017032,0.015597765,
2/15/2011,0.0188145,0.099533922,
2/16/2011,0.0178429,-0.053022179,
2/17/2011,0.0218064,0.200597835,
2/18/2011,0.0217102,-0.004421308,
2/19/2011,0.0216381,-0.003326546,
2/20/2011,0.0215659,-0.003342286,
2/21/2011,0.0216098,0.002033552,
2/22/2011,0.0265835,0.207143807,
2/23/2011,0.0250229,-0.060499317,
2/24/2011,0.025055,0.001282003,
2/25/2011,0.026749,0.065423681,
2/26/2011,0.0266769,-0.002699067,
2/27/2011,0.0266048,-0.002706372,
2/28/2011,0.0275352,0.034373536,
3/1/2011,0.0288068,0.045146284,
3/2/2011,0.0288068,0,
3/3/2011,0.0204745,-0.341431261,
3/4/2011,0.0252066,0.207925656,
3/5/2011,0.0251345,-0.002864461,
3/6/2011,0.0250623,-0.002876679,
3/7/2011,0.0247955,-0.01070254,
3/8/2011,0.0242681,-0.021499454,
3/9/2011,0.027759,0.134397381,
3/10/2011,0.0328391,0.168059767,
3/11/2011,0.0317382,-0.034098876,
3/12/2011,0.0316661,-0.002274295,
3/13/2011,0.0315939,-0.002282644,
3/14/2011,0.0349885,0.102055372,
3/15/2011,0.0355308,0.01538049,
3/16/2011,0.041282,0.150026644,
3/17/2011,0.0379699,-0.083632829,
3/18/2011,0.0371672,-0.021367089,
3/19/2011,0.0370951,-0.001941766,
3/20/2011,0.0370231,-0.001942843,
3/21/2011,0.0324717,-0.131173101,
3/22/2011,0.0315837,-0.027727776,
3/23/2011,0.0311088,-0.015150427,
3/24/2011,0.0282561,-0.096181374,
3/25/2011,0.0262532,-0.073521477,
3/26/2011,0.026181,-0.00275393,
3/27/2011,0.0261088,-0.002761535,
3/28/2011,0.024978,-0.044276985,
3/29/2011,0.0222747,-0.114543932,
3/30/2011,0.024966,0.114063394,
3/31/2011,0.0219865,-0.127086271,
4/1/2011,0.0311088,0.046012964,
