Date,IMLIED_VOLATILITY,OPTION_PRICE,OPTION_RETURN,DELTA,GAMMA,VEGA
7/1/2010,0.2325,4.6624,0,,,
7/2/2010,0.22625,4.5851,-0.016718421,,,
7/5/2010,0.2275,4.56575,-0.004229122,,,
7/6/2010,0.227,4.5323,-0.007353257,,,
7/7/2010,0.224,4.55005,0.003908685,,,
7/8/2010,0.2215,4.542,-0.001770778,,,
7/9/2010,0.21825,4.5275,-0.003197533,,,
7/12/2010,0.217,4.384,-0.032208361,,,
7/13/2010,0.21425,4.4697,0.019359743,,,
7/14/2010,0.218,4.46815,-0.00034684,,,
7/15/2010,0.22025,4.4886,0.004566396,,,
7/16/2010,0.22125,4.51105,0.004989093,,,
7/19/2010,0.21825,4.4702,-0.009096792,,,
7/20/2010,0.2175,4.48305,0.002870468,,,
7/21/2010,0.2265,4.5172,0.007588715,,,
7/22/2010,0.222,4.53835,0.004671177,,,
7/23/2010,0.215,4.4962,-0.009330914,,,
7/26/2010,0.21525,4.45665,-0.008835233,,,
7/27/2010,0.2185,4.4024,-0.012247516,,,
7/28/2010,0.214,4.4525,0.011315889,,,
7/29/2010,0.216,4.45395,0.000325607,,,
7/30/2010,0.217,4.46555,0.002601044,,,
8/2/2010,0.21575,4.4871,0.004814226,,,
8/3/2010,0.2145,4.4962,0.002025982,,,
8/4/2010,0.2135,4.46885,-0.006101491,,,
8/5/2010,0.21025,4.43275,-0.008110946,,,
8/6/2010,0.21,4.40035,-0.007336076,,,
8/9/2010,0.212,4.3384,-0.014178467,,,
8/10/2010,0.208,4.33895,0.000126767,,,
8/11/2010,0.215,4.27355,-0.01518752,,,
8/12/2010,0.215,4.2964,0.005332599,,,
8/13/2010,0.23,4.3524,0.012949954,,,
8/16/2010,0.246,4.51455,0.036578097,,,
8/17/2010,0.2345,4.5062,-0.001851288,,,
8/18/2010,0.22925,4.4084,-0.021942414,,,
8/19/2010,0.2375,4.42235,0.003159417,,,
8/20/2010,0.23825,4.44015,0.004016931,,,
8/23/2010,0.23825,4.46755,0.006152,,,
8/24/2010,0.244,4.499,0.00701499,,,
8/25/2010,0.2405,4.48495,-0.003127803,,,
8/26/2010,0.24925,4.46405,-0.004670921,,,
8/27/2010,0.22925,4.37635,-0.019841382,,,
8/30/2010,0.24075,4.3525,-0.005464651,,,
8/31/2010,0.248,4.45435,0.023130754,,,
9/1/2010,0.24075,4.4288,-0.00575248,,,
9/2/2010,0.23275,4.41555,-0.002996265,,,
9/3/2010,0.22175,4.31845,-0.02223586,,,
9/6/2010,0.2185,4.22375,-0.022173183,,,
9/7/2010,0.23375,4.30575,0.01922798,,,
9/8/2010,0.233,4.3908,0.019560104,,,
9/9/2010,0.224,4.34605,-0.010244056,,,
9/10/2010,0.22275,4.35245,0.001471518,,,
9/13/2010,0.22175,4.36215,0.00222615,,,
9/14/2010,0.225,4.3606,-0.000355393,,,
9/15/2010,0.22275,4.41255,0.011843091,,,
9/16/2010,0.2195,4.4221,0.002161943,,,
9/17/2010,0.22175,4.4944,0.016217481,,,
9/20/2010,0.2245,4.44075,-0.012008896,,,
9/21/2010,0.2295,4.4759,0.007884168,,,
9/22/2010,0.232,4.5014,0.005681011,,,
9/23/2010,0.2355,4.53845,0.008197085,,,
9/24/2010,0.238,4.5989,0.0132316,,,
9/27/2010,0.24675,4.69205,0.020052443,,,
9/28/2010,0.25475,4.75895,0.014157469,,,
9/29/2010,0.25825,4.84005,0.016897996,,,
9/30/2010,0.2475,4.7752,-0.013489193,,,
10/1/2010,0.24275,4.78635,0.002332259,,,
10/4/2010,0.247,4.74335,-0.00902448,,,
10/5/2010,0.24225,4.81325,0.014628894,,,
10/6/2010,0.24625,4.789,-0.00505091,,,
10/7/2010,0.246,4.73325,-0.011709551,,,
10/8/2010,0.23775,4.79925,0.013847586,,,
10/11/2010,0.24225,4.72575,-0.015433377,,,
10/12/2010,0.23625,4.7931,0.014151105,,,
10/13/2010,0.2275,4.6785,-0.024199838,,,
10/14/2010,0.22125,4.58205,-0.020831049,,,
10/15/2010,0.2135,4.4933,-0.019559098,,,
10/18/2010,0.21375,4.43625,-0.012777973,,,
10/19/2010,0.21725,4.44095,0.001058893,,,
10/20/2010,0.223,4.37385,-0.015224689,,,
10/21/2010,0.2175,4.50175,0.028822582,,,
10/22/2010,0.2185,4.52205,0.004499221,,,
10/25/2010,0.22,4.5429,0.004600144,,,
10/26/2010,0.216,4.49245,-0.011167365,,,
10/27/2010,0.20775,4.46745,-0.005580434,,,
10/28/2010,0.21025,4.5061,0.008614258,,,
10/29/2010,0.21175,4.47995,-0.005820149,,,
11/1/2010,0.21025,4.5182,0.008501799,,,
11/2/2010,0.219,4.5482,0.006617866,,,
11/3/2010,0.209,4.54775,-9.89E-05,,,
11/4/2010,0.209,4.5422,-0.001221129,,,
11/5/2010,0.2105,4.55255,0.002276039,,,
11/8/2010,0.208,4.56485,0.002698139,,,
11/9/2010,0.20475,4.55875,-0.001337192,,,
11/10/2010,0.2045,4.5496,-0.002009146,,,
11/11/2010,0.205,4.58315,0.007347218,,,
11/12/2010,0.204,4.5591,-0.005261299,,,
11/15/2010,0.19825,4.51715,-0.009243972,,,
11/16/2010,0.2025,4.47725,-0.008872245,,,
11/17/2010,0.20075,4.50085,0.005257249,,,
11/18/2010,0.20275,4.5088,0.001764775,,,
11/19/2010,0.20425,4.51305,0.000942157,,,
11/22/2010,0.20775,4.5739,0.013393033,,,
11/23/2010,0.2105,4.6261,0.011347948,,,
11/24/2010,0.2085,4.60965,-0.003562248,,,
11/25/2010,0.19425,4.5315,-0.017098922,,,
11/26/2010,0.214,4.6943,0.035295996,,,
11/29/2010,0.21775,4.6517,-0.009116263,,,
11/30/2010,0.22125,4.6987,0.010053131,,,
12/1/2010,0.2155,4.6943,-0.000936868,,,
12/2/2010,0.21275,4.66195,-0.006915191,,,
12/3/2010,0.20975,4.67235,0.002228342,,,
12/6/2010,0.21425,4.7286,0.011967019,,,
12/7/2010,0.20875,4.7101,-0.003920036,,,
12/8/2010,0.2055,4.67055,-0.008432301,,,
12/9/2010,0.215,4.64815,-0.004807547,,,
12/10/2010,0.20975,4.63825,-0.002132151,,,
12/13/2010,0.20675,4.6549,0.003583288,,,
12/14/2010,0.20125,4.60195,-0.011440302,,,
12/15/2010,0.1985,4.6092,0.001574179,,,
12/16/2010,0.202,4.6055,-0.000803065,,,
12/17/2010,0.206,4.5985,-0.001521078,,,
12/20/2010,0.20475,4.6184,0.004318161,,,
12/21/2010,0.20575,4.5921,-0.005710889,,,
12/22/2010,0.2055,4.58915,-0.000642614,,,
12/23/2010,0.2065,4.566,-0.005057274,,,
12/27/2010,0.21025,4.71275,0.031634054,,,
12/28/2010,0.20575,4.595,-0.025302846,,,
12/29/2010,0.20875,4.7259,0.028089263,,,
12/30/2010,0.20775,4.73,0.000867184,,,
12/31/2010,0.211,4.60625,-0.026511126,,,
1/3/2011,0.20575,4.61925,0.002818277,,,
1/4/2011,0.203,4.60975,-0.002058729,,,
1/5/2011,0.2015,4.5857,-0.00523086,,,
1/6/2011,0.20325,4.67155,0.018548157,,,
1/7/2011,0.20275,4.67555,0.00085588,,,
1/10/2011,0.20425,4.65565,-0.004265267,,,
1/11/2011,0.20375,4.53775,-0.025650241,,,
1/12/2011,0.202,4.5445,0.001486416,,,
1/13/2011,0.2025,4.52825,-0.003582159,,,
1/14/2011,0.20375,4.53555,0.001610804,,,
1/17/2011,0.202,4.6107,0.016433334,,,
1/18/2011,0.20225,4.6048,-0.001280452,,,
1/19/2011,0.2075,4.61995,0.003284645,,,
1/20/2011,0.19875,4.6426,0.004890672,,,
1/21/2011,0.2,4.62015,-0.004847382,,,
1/24/2011,0.1995,4.54905,-0.015508752,,,
1/25/2011,0.202,4.5327,-0.003600632,,,
1/26/2011,0.19925,4.53675,0.000893108,,,
1/27/2011,0.199,4.63675,0.021802793,,,
1/28/2011,0.2025,4.5464,-0.019677979,,,
1/31/2011,0.202,4.576,0.006489543,,,
2/1/2011,0.19975,4.6128,0.008009794,,,
2/2/2011,0.201,4.6144,0.000346801,,,
2/3/2011,0.19675,4.6127,-0.00036848,,,
2/4/2011,0.19425,4.5901,-0.004911559,,,
2/7/2011,0.192,4.51545,-0.016396961,,,
2/8/2011,0.19125,4.46895,-0.010351368,,,
2/9/2011,0.191,4.41755,-0.011568238,,,
2/10/2011,0.18775,4.40705,-0.002379712,,,
2/11/2011,0.1875,4.3663,-0.009289563,,,
2/14/2011,0.18825,4.33885,-0.006306633,,,
2/15/2011,0.188,4.29115,-0.011054574,,,
2/16/2011,0.19025,4.29085,-6.99E-05,,,
2/17/2011,0.1945,4.3099,0.004429853,,,
2/18/2011,0.19225,4.39315,0.019131808,,,
2/21/2011,0.188,4.33,-0.014478968,,,
2/22/2011,0.196,4.384,0.012394008,,,
2/23/2011,0.2,4.40565,0.004926258,,,
2/24/2011,0.201,4.4479,0.009544267,,,
2/25/2011,0.2,4.4766,0.006431755,,,
2/28/2011,0.201,4.4703,-0.001408309,,,
3/1/2011,0.2025,4.46905,-0.000279662,,,
3/2/2011,0.19675,4.46015,-0.00199346,,,
3/3/2011,0.1965,4.46685,0.001501064,,,
3/4/2011,0.196,4.4063,-0.013648127,,,
3/7/2011,0.198,4.43425,0.006323157,,,
3/8/2011,0.198,4.4119,-0.005053056,,,
3/9/2011,0.19725,4.40525,-0.001508424,,,
3/10/2011,0.202,4.44075,0.00802627,,,
3/11/2011,0.2025,4.48975,0.01097374,,,
3/14/2011,0.199,4.46875,-0.004688293,,,
3/15/2011,0.2105,4.4855,0.003741245,,,
3/16/2011,0.21275,4.5085,0.005114532,,,
3/17/2011,0.209,4.77825,0.058109867,,,
3/18/2011,0.2105,4.6912,-0.018385957,,,
3/21/2011,0.2095,4.6976,0.001363327,,,
3/22/2011,0.2055,4.62185,-0.016256682,,,
3/23/2011,0.20425,4.57465,-0.010264865,,,
3/24/2011,0.20275,4.56465,-0.002188352,,,
3/25/2011,0.202,4.55315,-0.00252254,,,
3/28/2011,0.20325,4.5527,-9.88E-05,,,
3/29/2011,0.20175,4.53815,-0.003201024,,,
3/30/2011,0.20275,4.54525,0.001563292,,,
3/31/2011,0.204,4.5281,-0.003780306,,,
4/1/2011,0.2065,4.544,0.003505256,,,
4/4/2011,0.2045,4.51295,-0.00685664,,,
4/5/2011,0.20175,4.50335,-0.002129477,,,
4/6/2011,0.2015,4.4991,-0.000944187,,,
4/7/2011,0.19725,4.48055,-0.00413157,,,
4/8/2011,0.1965,4.48225,0.000379346,,,
4/11/2011,0.1975,4.4658,-0.003676783,,,
4/12/2011,0.19825,4.4637,-0.000470351,,,
4/13/2011,0.203,4.4815,0.003979793,,,
4/14/2011,0.19875,4.51875,0.008277595,,,
4/15/2011,0.2005,4.47665,-0.009360408,,,
4/18/2011,0.202,4.53825,0.013666476,,,
4/19/2011,0.205,4.53325,-0.001102354,,,
4/20/2011,0.205,4.5344,0.000253649,,,
4/21/2011,0.201,4.528,-0.00141243,,,
4/22/2011,0.201,4.56925,0.009068737,,,
4/25/2011,0.20125,4.5655,-0.000821041,,,
4/26/2011,0.205,4.56865,0.000689719,,,
4/27/2011,0.204,4.5578,-0.002377705,,,
4/28/2011,0.2025,4.54705,-0.00236138,,,
4/29/2011,0.203,4.53505,-0.002642562,,,
5/2/2011,0.20525,4.5429,0.001729466,,,
5/3/2011,0.2075,4.5851,0.009246341,,,
5/4/2011,0.2085,4.639,0.01168691,,,
5/5/2011,0.21225,4.6153,-0.005121955,,,
5/6/2011,0.2105,4.63925,0.005175844,,,
5/9/2011,0.2105,4.62555,-0.002957432,,,
5/10/2011,0.20875,4.672,0.009991963,,,
5/11/2011,0.21075,4.63755,-0.007401036,,,
5/12/2011,0.208,4.6495,0.002573477,,,
5/13/2011,0.211,4.668,0.003971027,,,
5/16/2011,0.2155,4.69675,0.006140066,,,
5/17/2011,0.2175,4.6846,-0.002590247,,,
5/18/2011,0.218,4.71295,0.006033506,,,
5/19/2011,0.21525,4.78175,0.014492549,,,
5/20/2011,0.215,4.65375,-0.027133242,,,
5/23/2011,0.21625,4.76405,0.023424801,,,
5/24/2011,0.21725,4.72225,-0.008812766,,,
5/25/2011,0.217,4.8165,0.019762142,,,
5/26/2011,0.21725,4.7505,-0.013797648,,,
5/27/2011,0.2175,4.809,0.012239287,,,
5/30/2011,0.21525,4.67965,-0.027265841,,,
5/31/2011,0.21475,4.619,-0.013045089,,,
6/1/2011,0.2175,4.74255,0.026396734,,,
6/2/2011,0.215,4.753,0.002201032,,,
6/3/2011,0.21425,5.07275,0.065107079,,,
6/6/2011,0.21275,4.997,-0.015045345,,,
6/7/2011,0.2115,4.7574,-0.049136432,,,
6/8/2011,0.213,4.74485,-0.002641481,,,
6/9/2011,0.212,4.74545,0.000126445,,,
6/10/2011,0.214,4.7525,0.001484531,,,
6/13/2011,0.21325,4.79515,0.008934195,,,
6/14/2011,0.208,4.77165,-0.004912833,,,
6/15/2011,0.213,4.70705,-0.013630772,,,
6/16/2011,0.21575,4.7577,0.010702973,,,
6/17/2011,0.2135,4.7838,0.005470852,,,
6/20/2011,0.21375,4.7727,-0.002323027,,,
6/21/2011,0.2135,4.7745,0.000377074,,,
6/22/2011,0.21525,4.77545,0.000198954,,,
6/23/2011,0.21775,4.796,0.004294027,,,
6/24/2011,0.21875,4.8443,0.010020519,,,
6/27/2011,0.21875,4.87145,0.005588878,,,
6/28/2011,0.215,4.85685,-0.003001554,,,
6/29/2011,0.211,4.85095,-0.001215518,,,
6/30/2011,0.20875,4.7905,-0.012539772,,,
7/1/2011,0.208,4.7224,-0.014317645,0.4986,11.44,21791.11
